voxel_volume_2021,convex_hull_volume_2021,voxel_area_2021,Model_2021,Iteration_2021,point2tree_Volume_2021,point2tree_area_2021,graham_volume_2021,graham_Area_2021,lky_name,TotalBranches_2021,voxel_volume_2023,convex_hull_volume_2023,voxel_area_2023,Model_2023,Iteration_2023,point2tree_Volume_2023,point2tree_area_2023,graham_volume_2023,graham_Area_2023,TotalBranches_2023,convex_hull_area_2023,convex_hull_area_2021
0.093,0.068863784,0.18,tree_14,3400,0.036474512,0.124718849,0.053033064,0.103776659,蓝20_50_行7_1_000340,111,0.878,3.498076604,2.43,tree_15,3400,1.196312229,2.199162393,2.101124216,1.869900511,438,2.962566544,0.124285545
0.185,0.2324178,0.32,tree_565,3400,0.111260422,0.245229016,0.150033071,0.222072588,蓝20_50_行13_2_000248,137,1.77,5.9191125,3.61,tree_597,3400,2.028401567,3.192246973,3.703305753,3.118377614,1131,3.833649686,0.273807165
0.13,0.161179038,0.38,tree_1263,3400,0.055835826,0.264512949,0.137215896,0.285493166,蓝20_50_行9_3_000070,110,1.164,4.483831563,3.14,tree_1328,3400,1.582484918,3.055389669,2.300963986,2.568138763,682,3.555797641,0.30862743
0.274,0.326885903,0.39,tree_685,3400,0.154419828,0.239707994,0.226795173,0.207367139,蓝20_50_行7_1_000479,204,1.013,5.153321014,3.29,tree_722,3400,1.597481737,3.016687103,2.588707048,2.849329822,506,4.126805705,0.324286215
0.295,0.412435669,0.63,tree_950,3400,0.228383074,0.517929883,0.306579472,0.355235001,绿01-23_1_000139,266,3.124,15.55173233,6.14,tree_1002,3400,5.759520146,6.098611884,8.502797827,5.268101317,1629,7.775895499,0.576398395
0.102,0.105120395,0.25,tree_32,3400,0.052737903,0.186503455,0.075943125,0.133954533,蓝20_50_行16_1_000127,100,0.814,2.48896326,1.53,tree_35,3400,0.928486733,1.351046949,1.323692564,1.084688793,472,1.694733182,0.173192925
0.118,0.165211905,0.28,tree_208,3400,0.05760592,0.230851865,0.094031261,0.167491319,蓝20_50_行9_1_000064,100,0.902,3.440642132,2.65,tree_217,3400,0.981482258,2.32061677,2.038836738,2.154856685,500,2.787132989,0.22958467
0.119,0.140360571,0.26,tree_425,3400,0.084270794,0.208653229,0.100707176,0.161968498,蓝20_50_行9_1_000347,100,4.587,20.90388367,9.34,tree_451,3400,10.82453509,9.564317348,15.04545905,8.744652838,2342,10.66040783,0.2084796
0.045,0.027710672,0.19,tree_1213,3400,0.012326572,0.134796639,0.026495183,0.111586284,蓝20_50_行7_2_000174,100,0.383,0.998208657,1.15,tree_1278,3400,0.290670495,0.972357665,0.623668801,0.95678342,255,1.203117285,0.123250875
0.032,0.016761038,0.1,tree_44,3400,0.007349535,0.066222665,0.012669983,0.049232308,蓝20_50_行13_2_000202,100,1.58,4.968484125,3.13,tree_49,3400,1.917351233,3.028022514,3.325319229,2.794543723,857,3.453400272,0.069038715
0.154,0.217937935,0.41,tree_382,3400,0.07717901,0.304690414,0.136464654,0.195168046,混01_51_行54_3_000363,141,0.894,3.236492529,2.62,tree_403,3400,1.146049526,2.58934317,1.883201765,2.340739842,535,3.049613128,0.338794205
0.234,0.35863786,0.47,tree_526,3400,0.143948211,0.342801814,0.230924155,0.23112411,蓝20_50_行12_1_000241,175,2.163,14.33029471,5.67,tree_556,3400,6.527779506,6.13895084,7.888087468,5.944496495,1003,7.509351288,0.3879827
0.228,0.282747166,0.47,tree_323,3400,0.138500302,0.364914341,0.196827354,0.307324421,蓝20_50_行6_2_000030,202,2.812,11.60101776,6.46,tree_340,3400,4.207222396,6.111183674,7.782362995,6.056008406,1876,6.928868732,0.371051885
0.197,0.220804406,0.33,tree_541,3400,0.084383512,0.238244818,0.156999899,0.189473145,蓝20_50_行14_2_000224,155,3.16,12.52671541,6.91,tree_572,3400,5.241962635,6.709206741,8.626406716,6.522111789,1666,7.708067637,0.244887515
0.115,0.123659554,0.27,tree_1086,3400,0.040111822,0.190011977,0.081459136,0.146277048,蓝20_50_行3_2_000468,100,2.213,10.58886597,5.18,tree_1143,3400,3.628678635,5.197747213,6.73949597,4.423366049,1083,6.475601543,0.19169835
0.028,0.01454527,0.1,tree_578,3400,0.008743407,0.076685133,0.012296311,0.055518867,蓝20_50_行12_1_000532,100,1.212,6.942100244,3.43,tree_610,3400,2.265654338,3.363844451,3.770564462,2.61769036,578,4.467973254,0.06907243
0.191,0.202094328,0.34,tree_332,3400,0.081227293,0.255678269,0.140638738,0.204308314,蓝20_50_行6_2_000036,134,0.396,0.982171694,1.36,tree_349,3400,0.245951766,1.084067858,0.586824377,0.973412007,283,1.388989554,0.266922195
0.133,0.16372075,0.32,tree_1039,3400,0.102092522,0.274938639,0.100934677,0.179268366,绿01-25_1_000161,100,1.64,5.688847799,3.28,tree_1095,3400,2.349318621,3.134480518,3.436685561,2.873562106,879,3.585799503,0.25193752
0.219,0.32991482,0.48,tree_282,3400,0.156051058,0.322028348,0.233462095,0.264674322,蓝20_50_行12_1_000264,135,2.064,8.634905684,5.13,tree_296,3400,3.110928661,4.781082518,5.444355566,4.598177829,1243,5.680935117,0.375318115
0.028,0.015287088,0.15,tree_688,3400,0.005044151,0.078191449,0.014274361,0.076021784,绿17_27_行1_1_000005,100,1.412,6.575445631,2.68,tree_725,3400,2.156927158,2.690928471,3.274441996,2.139455344,786,4.381857564,0.087408615
0.225,0.358498342,0.35,tree_1083,3400,0.146272593,0.317294786,0.215019517,0.206473977,绿01-20_1_000552,162,0.492,2.496345992,2.22,tree_1140,3400,0.60259209,2.208549709,1.242122585,1.772375473,224,2.899932348,0.29293515
0.178,0.497698291,0.59,tree_1027,3400,0.251322501,0.43319142,0.315605422,0.422739035,混01_51_行40_3_000178,100,2.012,9.039743093,4.29,tree_1083,3400,3.81856194,4.101970722,5.319114938,4.036809823,1074,4.743052395,0.51017668
0.04,0.021335214,0.17,tree_506,3400,0.010871594,0.113681993,0.019768314,0.107448848,蓝20_50_行17_2_000146,100,0.222,0.574693979,0.74,tree_534,3400,0.148745957,0.563983953,0.275775855,0.548660878,137,0.82472728,0.11371833
0.052,0.036336607,0.14,tree_718,3400,0.009848335,0.08729364,0.024764457,0.091639746,蓝20_50_行12_2_000323,100,1.44,5.339674548,3.53,tree_757,3400,2.174314101,3.159246719,3.454348729,3.111002462,836,3.722369414,0.096235665
0.137,0.164632261,0.32,tree_47,3400,0.082163298,0.239321482,0.112235612,0.236421188,蓝20_50_行13_1_000423,118,0.767,3.132821544,2.11,tree_52,3400,1.092634929,1.972240455,1.654251162,2.023210716,464,2.697766813,0.262335695
0.178,0.220897771,0.39,tree_210,3400,0.118226374,0.28996101,0.164811346,0.215371862,蓝20_50_行7_1_000211,148,0.911,2.917730615,2.27,tree_219,3400,1.054469548,1.968620099,1.985992035,1.770704387,467,2.549961452,0.305797115
0.014,0.006259502,0.05,tree_573,3400,0.003514833,0.031863248,0.003103224,0.01407792,蓝20_50_行5_2_000339,100,1.054,3.562552007,2.72,tree_605,3400,1.311537755,2.39049185,2.261494278,2.069641593,622,3.104216234,0.027783945
0.116,0.180070707,0.31,tree_27,3400,0.054667877,0.23364141,0.085220737,0.156954265,蓝20_50_行8_1_000050,100,2.222,9.820861478,5.88,tree_29,3400,3.63571592,5.500705855,6.025577542,5.625258849,1175,6.513122024,0.247477275
0.091,0.09332524,0.28,tree_908,3400,0.037565604,0.205319876,0.060439673,0.187255419,蓝20_50_行13_2_000103,100,0.226,0.429057348,0.78,tree_956,3400,0.200639203,0.567336876,0.325036069,0.532690684,148,0.786977521,0.21810891
0.138,0.197917416,0.39,tree_854,3400,0.074252576,0.255797271,0.118688574,0.171930242,蓝20_50_行12_2_000206,100,1.535,6.269860675,3.96,tree_901,3400,2.108351708,3.840357084,3.456798211,3.559137509,968,4.48071341,0.319468035
0.049,0.057172129,0.18,tree_669,3400,0.019388147,0.134707201,0.021092572,0.109137664,蓝20_50_行14_2_000092,100,0.353,1.05173005,1.04,tree_706,3400,0.346031099,0.932767623,0.536235602,0.708677081,243,1.115226081,0.13060796
0.064,0.058447973,0.18,tree_548,3400,0.031976243,0.154372006,0.036663399,0.097771902,蓝20_50_行7_2_000041,100,0.7,1.883545805,1.8,tree_579,3400,0.642939633,1.583615072,1.140356566,1.549583557,464,2.104509343,0.138719555
0.452,0.78177572,0.68,tree_771,3400,0.394549493,0.621958643,0.49338762,0.443751938,绿01-22_1_000125,355,5.123,24.18761474,8.99,tree_811,3400,12.56504921,8.778146974,16.82538691,8.603922074,2666,9.885256516,0.599831795
0.095,0.155667485,0.26,tree_1178,3400,0.047572205,0.210309222,0.08144673,0.171598189,蓝20_50_行4_3_000058,100,4.033,18.65423009,8.51,tree_1242,3400,8.412973002,8.326128816,13.59362729,7.592505632,2183,9.960355376,0.218669895
0.314,0.51387548,0.52,tree_498,3400,0.241260307,0.464049773,0.346539063,0.341587147,蓝20_50_行14_1_000276,202,2.662,13.31681462,6.34,tree_526,3400,5.064719687,6.69653531,8.205065817,5.795178346,1344,7.063927023,0.44321525
0.157,0.216445212,0.38,tree_194,3400,0.121782055,0.288596287,0.146515573,0.18145167,蓝20_50_行14_2_000104,109,0.515,1.011140074,1.79,tree_203,3400,0.504065554,1.620079434,0.845811275,1.709711253,302,2.094419422,0.30385833
0.097,0.096228159,0.25,tree_294,3400,0.040045268,0.188381759,0.058373349,0.162708943,蓝20_50_行8_1_000217,100,0.306,1.009013787,1.24,tree_309,3400,0.274885423,1.100396277,0.520961302,1.02874907,198,1.397167311,0.19578698
0.071,0.113949576,0.27,tree_401,3400,0.027404255,0.193119974,0.049266367,0.116897476,蓝20_50_行6_2_000164,100,0.288,0.746066512,0.88,tree_425,3400,0.267437768,0.721440647,0.353283716,0.45023784,158,0.851902876,0.215355805
0.143,0.195366248,0.38,tree_164,3400,0.087386309,0.282491993,0.118443392,0.203290971,蓝20_50_行7_1_000478,100,1.306,5.292187839,3.43,tree_172,3400,1.79965949,3.115978116,3.267177058,2.553898986,689,3.971340258,0.30560623
0.083,0.074497623,0.31,tree_375,3400,0.02781218,0.212164202,0.059046205,0.237578815,蓝20_50_行14_1_000291,100,1.103,3.635618915,3.06,tree_395,3400,1.481094097,3.089091316,2.377258047,2.448719938,593,3.260239377,0.255227955
0.222,0.413721028,0.45,tree_406,3400,0.264434794,0.401251197,0.281432003,0.304783789,蓝20_50_行10_1_000054,123,2.622,15.74780142,6.19,tree_430,3400,5.719422584,6.307025491,7.726857076,4.733333124,1317,7.765096746,0.39732238
0.16,0.176874795,0.28,tree_1239,3400,0.064962184,0.201137868,0.116526864,0.160608096,蓝20_50_行13_3_000279,109,0.905,4.03135062,2.88,tree_1304,3400,1.326334755,3.06684013,2.264787711,2.575242013,499,3.718851204,0.21487871
0.212,0.320541181,0.47,tree_751,3400,0.147872499,0.327884333,0.214818722,0.247157866,蓝20_50_行12_2_000303,161,1.015,4.319437753,2.03,tree_791,3400,1.506192815,1.871155731,1.917277877,1.467882709,567,2.518213212,0.374236245
0.226,0.270321721,0.43,tree_735,3400,0.146612822,0.300927099,0.206922035,0.26153227,蓝20_50_行10_2_000284,175,1.096,3.812342053,2.75,tree_774,3400,1.135209196,2.327032416,2.216662763,2.125612563,735,2.972193515,0.35316318
0.073,0.075857628,0.2,tree_371,3400,0.02684934,0.136133244,0.049857663,0.077863762,蓝20_50_行14_1_000443,100,3.022,12.73549117,5.72,tree_391,3400,4.96976304,5.455305596,9.198881986,5.315971255,1433,6.453121674,0.153344395
0.18,0.258273332,0.39,tree_791,3400,0.105439583,0.290523597,0.182207415,0.262826836,蓝20_50_行8_3_000340,159,2.967,14.65388371,7.95,tree_834,3400,5.026412366,7.660944106,10.10411649,6.98203204,1518,9.414216167,0.33435009
0.346,0.573431178,0.5,tree_104,3400,0.245765141,0.385890437,0.345611337,0.446551275,蓝20_50_行13_3_000144,270,1.451,5.673676823,3.46,tree_111,3400,2.753315459,3.741518386,2.619075973,2.962108549,924,3.578665309,0.63133434
0.077,0.088451703,0.32,tree_493,3400,0.024844667,0.21900506,0.070666238,0.213447776,蓝20_50_行15_3_000101,100,1.336,3.488361453,2.78,tree_521,3400,1.717663539,2.709178512,2.681242602,2.181251746,941,2.809510169,0.237335195
0.049,0.048520207,0.2,tree_483,3400,0.01660476,0.15881831,0.033779598,0.11660957,蓝20_50_行10_2_000192,100,0.8,3.00713177,1.95,tree_511,3400,1.047700268,1.769254564,1.533331971,1.637070473,498,2.20688294,0.159886725
0.304,0.754655085,0.7,tree_267,3400,0.480500636,0.666060551,0.498772381,0.481134532,蓝20_50_行13_3_000399,211,4.468,19.82321579,8.57,tree_281,3400,8.62112592,8.969384183,13.0376764,7.294239533,2484,9.338530848,0.63965011
0.16,0.152719177,0.29,tree_156,3400,0.071797195,0.192573548,0.102816874,0.177941795,蓝20_50_行3_2_000234,151,2.254,6.874740165,4.28,tree_164,3400,2.909425344,4.166845221,4.851511157,3.297973197,1488,4.639912332,0.222801405
0.146,0.137941287,0.21,tree_890,3400,0.096907756,0.122838104,0.088730432,0.110715409,蓝20_50_行10_1_000360,100,2.856,15.49009132,5.12,tree_938,3400,6.6433778,5.341220983,8.531252868,3.928418006,1334,5.707276944,0.141861585
0.096,0.12727604,0.31,tree_618,3400,0.072237577,0.279708591,0.081591952,0.192215396,蓝20_50_行8_3_000161,100,0.729,2.706710888,2.54,tree_651,3400,0.891573705,2.588490564,1.568441193,2.320258246,416,3.161040933,0.245465385
0.063,0.043876426,0.19,tree_318,3400,0.025588588,0.120702903,0.029472683,0.118914295,蓝20_50_行4_1_000016,100,1.377,4.82882961,3.15,tree_335,3400,2.503059763,3.029601474,3.415766494,2.795420448,750,3.330440364,0.126487915
0.198,0.219647855,0.4,tree_943,3400,0.093172511,0.281191051,0.154345713,0.198507553,蓝20_50_行15_1_000293,193,1.045,3.865128015,2.58,tree_993,3400,1.441936346,2.225513427,2.316229383,2.232280863,630,2.899949476,0.30701031
0.041,0.032416634,0.15,tree_900,3400,0.017446599,0.12864421,0.023519442,0.094146805,蓝20_50_行10_2_000482,100,0.747,1.79657137,1.71,tree_948,3400,0.778985046,1.46611242,1.151122027,1.347740143,587,1.749974509,0.10958173
0.201,3.685233501,0.75,tree_859,3400,0.407618619,1.789217695,0.806719009,2.217504258,蓝20_50_行3_3_000319,186,4.471,30.0642739,9.61,tree_906,3400,11.25073708,9.538116511,19.54021062,10.10898508,2037,12.6657831,3.09116637
0.112,0.110754835,0.26,tree_986,3400,0.057640376,0.195953701,0.073188102,0.161920152,蓝20_50_行16_1_000140,100,1.958,6.384026249,4.11,tree_1041,3400,3.310064205,4.121333228,4.691151813,3.456949942,1071,4.358313556,0.198387955
0.357,0.628991814,0.66,tree_414,3400,0.267563446,0.541496317,0.418494883,0.530785617,蓝20_50_行15_1_000296,285,2.883,11.97844485,6.72,tree_439,3400,4.823829164,6.57616448,7.404847429,6.498978544,1768,7.318573255,0.59666043
0.112,0.238315678,0.37,tree_1246,3400,0.060994515,0.304031768,0.093807868,0.206250985,蓝20_50_行44_3_000227,101,0.359,1.450033835,1.28,tree_1311,3400,0.29134165,1.084336282,0.613417993,1.208097507,205,1.4470228,0.470076665
0.185,0.285930891,0.45,tree_955,3400,0.184400459,0.400587919,0.221472883,0.328136468,混01_51_行44_3_000177,147,1.161,4.979355005,3.38,tree_1008,3400,1.688952669,3.27675611,2.789340378,2.814536507,650,3.701938525,0.40314304
0.182,0.186698561,0.32,tree_1164,3400,0.121170223,0.253758765,0.134572354,0.167826462,绿16_26_行1_1_000008,135,0.999,4.350436776,2.81,tree_1228,3400,1.224125576,2.595613593,2.080058972,2.062190101,680,3.737396362,0.227837495
0.122,0.257127471,0.36,tree_1212,3400,0.092392065,0.321446511,0.17884306,0.375034519,混01_51_行04_3_000049,100,1.75,9.160692168,3.92,tree_1277,3400,3.269692318,3.958056493,4.503167142,4.189058791,1001,5.288962991,0.48875307
0.011,0.00311825,0.05,tree_489,3400,0.002224541,0.024073233,0.000589153,0.009756593,混01_51_行40_3_000162,100,0.233,0.736656781,0.77,tree_517,3400,0.245276022,0.665175861,0.317078305,0.54095996,124,0.775353881,0.016046905
0.058,0.050931238,0.2,tree_168,3400,0.011817587,0.091110276,0.03364643,0.098960271,蓝20_50_行6_1_000491,100,1.624,7.116653902,4.55,tree_176,3400,2.766752969,4.884826233,4.650839494,4.69934197,921,5.417236436,0.13784416
0.086,0.084940204,0.27,tree_422,3400,0.041095079,0.189729253,0.061883958,0.156180325,蓝20_50_行9_1_000060,100,0.849,3.106207818,2.02,tree_447,3400,1.444362182,1.924303504,1.871125014,1.383757639,436,2.042446384,0.193547105
